participant,task,attempt,method,Rvel,Rcup,Rtable,Rvel*,Rcup*,Rtable*,RvD,RcD,RtD,Force,iactT,wDot,wFDot,wFAngle,wFDiff,wUpdateScore,RegretCup,RegretTable,wPathLenCup,wPathLenTable,absRDiffCup,absRDiffTable
P4,T1,2,A,0.0318131073841,74.824854257,48.9021098236,0.0252667811742,67.9221456532,41.5027278248,0.00654632620993,6.90270860376,7.39938199884,32.3347517252,0.9,0.767901306304,1.0,0.239073610615,0.24373505759,7.0,0.0,-0.863758160574,20.8092637627,20.6292350028,3.54792552569,0.863758160574
P4,T1,2,B,0.0267863238632,73.5115841101,46.3914647499,0.0252667811742,67.9221456532,41.5027278248,0.00151954268903,5.5894384569,4.88873692508,54.9984312057,0.9,0.781132100937,1.0,0.0,0.0,6.0,0.0,-2.02717842512e-11,19.9,20.5379880029,4.47926140623e-11,2.02717842512e-11
P4,T2,1,A,0.176702927706,123.756127788,69.2708024154,0.0521496254811,117.782620548,61.2207211307,0.124553302225,5.97350723981,8.05008128469,76.9661661386,2.0,0.895567231758,1.55211994067,0.280928815981,0.447880059332,14.0,28.1780950249,-16.0229061185,22.2787957283,20.5622440184,28.1780950249,16.0229061185
P4,T2,1,B,0.191486064034,123.904302937,64.4304847344,0.0521496254811,117.782620548,61.2207211307,0.139336438553,6.12168238887,3.20976360369,97.5581711531,1.6,0.996640200502,1.66267141036,0.200166609159,0.337328589637,6.0,21.9720944003,-14.7154836443,20.8683381264,20.7516782389,21.9720944003,14.7154836443
P4,T2,2,A,0.213929578541,141.514855518,64.267116205,0.0521496254811,117.782620548,61.2207211307,0.16177995306,23.7322349697,3.04639507425,88.2972011566,1.9,0.913212109648,1.18911251428,0.486617941353,0.725709246319,9.0,57.5085883473,-20.55982755,21.9603691555,20.646034274,57.5085883473,20.55982755
P4,T2,2,B,0.147784549835,125.379774057,65.5723374856,0.0521496254811,117.782620548,61.2207211307,0.0956349243537,7.5971535094,4.35161635492,98.315783143,1.8,1.34159852662,2.0,2.10734242554e-08,0.0,11.0,-2.0484947072e-10,-2.62829757958e-11,20.4698959503,20.6098402528,2.0484947072e-10,2.62829757958e-11
P5,T1,1,A,0.0919903132096,108.167525162,47.3493885435,0.0252667811742,67.9221456532,41.5027278248,0.0667235320354,40.2453795092,5.84666071872,73.7554117441,2.0,0.798346977641,1.0,0.303975827983,0.313697907504,9.0,0.0,0.297847299896,22.2976330716,20.5875818514,63.2954382885,0.297847299896
P5,T1,1,B,0.0892455094914,71.004929486,47.5538210752,0.0252667811742,67.9221456532,41.5027278248,0.0639787283172,3.08278383279,6.0510932504,375.425102234,3.9,0.838887914295,1.0,0.610916096599,0.700283334706,1.0,0.0,23.6994920799,21.1701037926,20.6682628757,52.2647789881,23.6994920799
P5,T1,2,A,0.0742053429391,69.6931877369,51.1707078683,0.0252667811742,67.9221456532,41.5027278248,0.0489385617649,1.77104208374,9.66798004351,72.0911971331,2.6,0.72950472016,0.987292197683,0.207735615019,0.208485472442,-2.0,0.0,6.47469413747,22.1779876867,20.7114211535,20.6841564228,6.47469413747
P5,T1,2,B,0.0809716103526,53.0598858452,55.0348609969,0.0252667811742,67.9221456532,41.5027278248,0.0557048291784,14.862259808,13.5321331721,228.88754487,2.6,0.807463368623,1.0,0.57057534375,0.641780569624,1.0,0.0,23.6846591816,22.0088869362,20.7030095552,52.2386803079,23.6846591816
P5,T2,1,A,0.138477843632,105.449760496,69.9163235434,0.0521496254811,117.782620548,61.2207211307,0.0863282181505,12.3328600518,8.69560241269,79.3657828569,1.9,1.2695400851,1.95593195628,0.0225266473195,0.0440680437195,13.0,-0.25034929531,0.110273224175,21.3517898908,20.6865483345,0.25034929531,0.110273224175
P5,T2,1,B,0.237706335802,107.127412596,65.5672979112,0.0521496254811,117.782620548,61.2207211307,0.185556710321,10.6552079519,4.3465767805,111.339395165,1.6,1.21628515246,2.0,2.10734242554e-08,0.0,6.0,-2.0484947072e-10,-2.62829757958e-11,20.6560727724,20.8397690952,2.0484947072e-10,2.62829757958e-11
P5,T2,2,A,0.134668543694,118.591088767,65.644971507,0.0521496254811,117.782620548,61.2207211307,0.0825189182128,0.808468219199,4.42425037635,93.8738007545,1.8,1.29589498421,2.0,2.10734242554e-08,0.0,14.0,-2.0484947072e-10,-2.62829757958e-11,20.7317764129,20.5559886374,2.0484947072e-10,2.62829757958e-11
P5,T2,2,B,0.183468477157,108.123620552,63.3925405189,0.0521496254811,117.782620548,61.2207211307,0.131318851676,9.65899999616,2.17181938817,120.524309516,1.8,1.41666246642,2.0,2.10734242554e-08,0.0,10.0,-2.0484947072e-10,-2.62829757958e-11,20.4683686878,20.7207647239,2.0484947072e-10,2.62829757958e-11
P6,T1,1,A,0.203756293602,74.4844038119,46.0570190622,0.0252667811742,67.9221456532,41.5027278248,0.178489512427,6.56225815871,4.55429123739,284.58014977,3.5,0.839454415633,1.0,0.691394681264,0.827683518664,1.0,0.0,24.9131327574,28.9099776165,21.6035630213,54.2734664232,24.9131327574
P6,T1,1,B,0.0566843802036,37.3095112851,55.6458425158,0.0252667811742,67.9221456532,41.5027278248,0.0314175990294,30.6126343681,14.143114691,263.312576652,2.7,0.831227973115,1.0,0.363604932679,0.380524138018,1.0,0.0,23.418480341,20.1934445572,21.0082622619,51.6648067372,23.418480341
P6,T1,2,A,0.156467203988,78.4240236136,44.2855434652,0.0252667811742,67.9221456532,41.5027278248,0.131200422814,10.5018779604,2.78281564037,218.688462615,3.4,0.802788628474,0.987545834105,0.0706304500745,0.0709683564609,7.0,0.0,-0.424304189829,26.2400534715,21.4511857349,1.47989439988,0.424304189829
P6,T1,2,B,0.0789379873213,34.3645362953,54.920213116,0.0252667811742,67.9221456532,41.5027278248,0.0536712061471,33.5576093579,13.4174852912,376.859739304,3.6,0.791990394455,1.0,0.586496958246,0.664494024853,0.0,0.0,23.6979910127,20.47197642,21.3560755532,52.2621368335,23.6979910127
