participant,task,attempt,method,Rvel,Rcup,Rtable,Rvel*,Rcup*,Rtable*,RvD,RcD,RtD,Force,iactT,weight
P2,T1,1,B,0.030352004476,50.6964489039,59.3629615416,0.0252667811742,67.9221456532,41.5027278248,-0.00508522330176,17.2256967493,-17.8602337168,88.0718108416,1.6,0.753143884511
P2,T1,2,A,0.13498040011,66.3790742462,52.6890704309,0.0252667811742,67.9221456532,41.5027278248,-0.109713618936,1.54307140697,-11.1863426061,142.367337823,2.5,0.9468651226
P2,T1,2,B,0.0414617005928,45.0923253337,59.0699784643,0.0252667811742,67.9221456532,41.5027278248,-0.0161949194186,22.8298203195,-17.5672506395,218.915497303,2.9,0.983311211476
P2,T2,1,A,0.342071381932,107.221909602,64.7074821113,0.0521496254811,117.782620548,61.2207211307,-0.289921756451,10.5607109457,-3.48676098057,225.451879025,4.1,0.802844171538
P2,T2,1,B,0.172843104041,115.631307799,62.1230526877,0.0521496254811,117.782620548,61.2207211307,-0.12069347856,2.15131274881,-0.902331556975,201.07365489,3.2,1.51912167175
P2,T2,2,A,0.3309975684,111.858234261,60.1673113798,0.0521496254811,117.782620548,61.2207211307,-0.278847942919,5.92438628661,1.05340975092,236.772771478,3.2,1.13399607997
P2,T2,2,B,0.180804879635,111.530299533,61.8008655567,0.0521496254811,117.782620548,61.2207211307,-0.128655254154,6.2523210149,-0.580144426031,204.126134157,3.2,1.64345803719
P3,T1,1,A,0.20117221569,55.9820344987,48.8311850542,0.0252667811742,67.9221456532,41.5027278248,-0.175905434516,11.9401111545,-7.32845722936,909.968494773,5.2,0.510792758431
P3,T1,1,B,0.102500374409,48.5835432401,51.7132759619,0.0252667811742,67.9221456532,41.5027278248,-0.0772335932352,19.3386024131,-10.2105481371,375.820459723,4.2,0.963522050438
P3,T1,2,A,0.131186834858,71.2629150079,45.8079540742,0.0252667811742,67.9221456532,41.5027278248,-0.105920053684,-3.34076935469,-4.30522624942,219.790035486,3.4,0.921462031437
P3,T1,2,B,0.0313119119775,75.7942240189,45.5965776963,0.0252667811742,67.9221456532,41.5027278248,-0.00604513080331,-7.87207836565,-4.09384987153,98.7482357025,1.0,0.925627068398
P3,T2,1,A,0.376009692329,128.068381296,57.4694261993,0.0521496254811,117.782620548,61.2207211307,-0.323860066848,-10.2857607481,3.75129493136,338.670488596,3.1,0.379718024229
P3,T2,1,B,0.320790353863,89.2825486077,64.3137255451,0.0521496254811,117.782620548,61.2207211307,-0.268640728382,28.5000719403,-3.0930044144,313.932923913,2.4,1.32584740231
P3,T2,2,A,0.414401493245,119.704312704,57.7576626419,0.0521496254811,117.782620548,61.2207211307,-0.362251867764,-1.92169215637,3.46305848879,318.275703311,2.9,1.15590035007
P3,T2,2,B,0.263296394512,102.592887031,61.1099165278,0.0521496254811,117.782620548,61.2207211307,-0.211146769031,15.1897335167,0.110804602934,161.556706905,2.2,1.48860503176
P4,T1,1,A,0.0275158343797,65.7779324828,52.6020989763,0.0252667811742,67.9221456532,41.5027278248,-0.00224905320553,2.14421317045,-11.0993711515,16.637424469,0.3,0.528248815952
